model,model_path,layer,num_cases,num_response_tokens,mean_entropy,std_entropy,mean_normalized_entropy,std_normalized_entropy,mean_sink_ratio,std_sink_ratio,mean_first_frame_ratio,std_first_frame_ratio,mean_other_frame_avg_ratio,std_other_frame_avg_ratio,mean_max_frame_ratio,std_max_frame_ratio,mean_frame_ratio_variance,std_frame_ratio_variance,mean_video_attention_mass,std_video_attention_mass
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,17.0,280.0,280.0,1.8855509413140161,0.13289432155116632,0.9069758574877467,0.06394657764668303,0.2760973366509591,0.09735404754624577,0.2760973366509591,0.09735404754624577,0.10348370423806565,0.014017446007018458,0.3116391604500158,0.09069756131177038,0.007704640877532906,0.006645596594743264,0.08299997738961662,0.036229510330798555
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,18.0,280.0,280.0,1.8052597956998007,0.16433037229156644,0.868351805635861,0.07902201100970918,0.31550806162745826,0.1231465401450851,0.31550806162745826,0.1231465401450851,0.09785578309425286,0.017720598720006104,0.36292065264923234,0.10287563512694091,0.011355438431408921,0.008492375336601058,0.1537863488042993,0.05995459421704406
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,19.0,280.0,280.0,1.5760625281504221,0.19081382224961965,0.7580901035240718,0.09164585883784294,0.42974019850870326,0.16853689525414128,0.42974019850870326,0.16853689525414128,0.08154428357790623,0.024276745561073402,0.4939559404339109,0.10720345890879854,0.022880062017273824,0.010881077549362055,0.09265710209895457,0.03337215202145835
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,20.0,280.0,280.0,1.480265630355903,0.2634528876989405,0.7120235991265093,0.12668080187480515,0.48248629945197274,0.1902175761482594,0.48248629945197274,0.1902175761482594,0.0740063815843314,0.027352218086794233,0.5486259111336299,0.12600604765238305,0.0289904947064185,0.014967248217522414,0.10510738297764743,0.03726617418837278
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,21.0,280.0,280.0,1.5747422693031174,0.22665876518191802,0.7574559041431972,0.1089071042930882,0.4497194770657058,0.17381375315968217,0.4497194770657058,0.17381375315968217,0.07868712395429611,0.02500948432051325,0.5099748779620443,0.11667223299458367,0.024092913436886323,0.012821023375804081,0.1221384886386139,0.0430406293784907
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,22.0,280.0,280.0,1.3255393824407034,0.2135989209205135,0.6375863234911646,0.1026382958484711,0.5547600114385465,0.19858154400451328,0.5547600114385465,0.19858154400451328,0.06368303915618785,0.028578120669426894,0.6301459339580365,0.09356612677031571,0.03829801256194644,0.012555769915487711,0.0730930742408548,0.016864981468064637
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,23.0,280.0,280.0,1.2877614442791259,0.21401433322234678,0.6194250674120018,0.10289547984698616,0.5771226804703474,0.20428543684807368,0.5771226804703474,0.20428543684807368,0.06048820927473051,0.029394343897340504,0.6487429702920573,0.08819904883193361,0.04070642082868809,0.01239144041591233,0.09750768701945033,0.021774114312361408
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,24.0,280.0,280.0,1.1675801587956292,0.1846382577385177,0.5616243128265653,0.08881747958213411,0.627162127529404,0.20574542870726145,0.627162127529404,0.20574542870726145,0.05333770516860698,0.02960485820444798,0.6972566523190056,0.07128496559367804,0.04781804205226113,0.010796658918083612,0.12767578223720194,0.02693180251818846
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,25.0,280.0,280.0,0.9343322975294931,0.1437538240811531,0.44942918249538966,0.06915686271150674,0.6916666666711015,0.23941133601604875,0.6916666666711015,0.23941133601604875,0.04412703339808754,0.03443404918831006,0.7805701180760349,0.05364164192624307,0.061928964868171274,0.008243284619750412,0.09951448919517654,0.014215576815138662
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,26.0,280.0,280.0,0.651097735123975,0.1513985361510798,0.31320505674396243,0.07291006024613367,0.7668067899000431,0.265119056505566,0.7668067899000431,0.265119056505566,0.03339200749594186,0.038101736482590964,0.8612866427217211,0.051474911330881334,0.07792903092132682,0.008488737782633357,0.1215522013604641,0.020588866228023955
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,27.0,280.0,280.0,0.8604917969022479,0.1366869257224627,0.4139224845916033,0.06584407010346963,0.7169762908214969,0.24129200459566788,0.7169762908214969,0.24129200459566788,0.040509544851790584,0.03469627143527261,0.8030183540923255,0.04881185614137041,0.06613748958666942,0.00783175860012878,0.11703498551755079,0.01613070520959528
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,28.0,280.0,280.0,0.8169872920428004,0.14457205362829445,0.3929784303797143,0.06951062916863235,0.7216229019753103,0.25337325374728525,0.7216229019753103,0.25337325374728525,0.03984826082762863,0.036429957866591464,0.8159408094095332,0.05219549306049008,0.06870357338838014,0.00832108249490313,0.13071139404284102,0.01983687773754738
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,29.0,280.0,280.0,0.6657836126429694,0.13549954550720017,0.32025068045726846,0.06516431257902866,0.759446524010439,0.26778226196472504,0.759446524010439,0.26778226196472504,0.03444533164479903,0.03849011184209713,0.8585943729217563,0.04782579081919727,0.07729791443187943,0.007648368200202668,0.1207980933665697,0.020602970880930816
