model,model_path,layer,num_cases,num_response_tokens,mean_entropy,std_entropy,mean_normalized_entropy,std_normalized_entropy,mean_sink_ratio,std_sink_ratio,mean_max_frame_ratio,std_max_frame_ratio,mean_video_attention_mass,std_video_attention_mass
OneThinker,/data1/liugengyuan/models/OneThinker,0.0,100.0,154.0,2.07758434176445,0.0007363206755713102,0.999106881916523,0.00035409791109000584,0.10624732242897153,0.03471351617408519,0.24204468682408334,0.03041897800194923,0.12721435971558093,0.03830567196409805
OneThinker,/data1/liugengyuan/models/OneThinker,1.0,100.0,154.0,2.0781156885623933,0.0008388676752237802,0.9993624088168144,0.0004034090174702859,0.1052010508067906,0.024861121933636727,0.23503300294280052,0.033844784870841416,0.10445915205404162,0.02970494827578141
OneThinker,/data1/liugengyuan/models/OneThinker,2.0,100.0,154.0,2.0783738565444945,0.0007338325135986823,0.9994865578413009,0.0003528970989681668,0.19058250430971385,0.04776978373855156,0.212465692833066,0.035886367462539655,0.10407923620194197,0.02598501421097089
OneThinker,/data1/liugengyuan/models/OneThinker,3.0,100.0,154.0,2.078032397031784,0.0010688204423274237,0.9993223521113396,0.0005139929096899095,0.20376626804471015,0.05999509579007802,0.22772037975490092,0.04747371423807075,0.05210311258211732,0.011112427552351764
OneThinker,/data1/liugengyuan/models/OneThinker,4.0,100.0,154.0,2.078288470506668,0.0006037314964501406,0.9994454979896545,0.0002903325218765223,0.1784552325308323,0.044453042025299004,0.21619022905826568,0.03262551658426633,0.04293418844230473,0.007575662743257676
OneThinker,/data1/liugengyuan/models/OneThinker,5.0,100.0,154.0,2.0784465205669402,0.0008739099999291819,0.9995215031504631,0.00042026063729212553,0.1724131391942501,0.04825540908181645,0.20899528212845325,0.04062107351384449,0.049378118570894004,0.010983570720116334
OneThinker,/data1/liugengyuan/models/OneThinker,6.0,100.0,154.0,2.078489445447922,0.0007761161857327834,0.9995421451330185,0.00037323312917342244,0.18136094979941844,0.039195759149556385,0.20653782829642295,0.035599047805622286,0.05505139505490661,0.01191412482114302
OneThinker,/data1/liugengyuan/models/OneThinker,7.0,100.0,154.0,2.0778860545158384,0.001397795568554741,0.9992519778013229,0.0006721947536130756,0.20156437054276466,0.05488112860085113,0.2285313768684864,0.049297460403751714,0.02011812198907137,0.004916757524807002
OneThinker,/data1/liugengyuan/models/OneThinker,8.0,100.0,154.0,2.0770944452285764,0.0014159600485072524,0.9988712912797928,0.0006809319512105043,0.2522578459233046,0.05562423597722939,0.2662910958379507,0.04725643213625642,0.03262147793546319,0.008859066721438982
OneThinker,/data1/liugengyuan/models/OneThinker,9.0,100.0,154.0,2.0770285868644716,0.0017805551108700142,0.9988396215438843,0.0008562644355992103,0.24366921447217466,0.05883367080987025,0.26968658551573754,0.05421065402357322,0.028592634573578836,0.007358620571515164
OneThinker,/data1/liugengyuan/models/OneThinker,10.0,100.0,154.0,2.0768975031375887,0.0015127493658372933,0.9987765827775001,0.0007274791297506413,0.20026795137673617,0.04574378544913671,0.2640005946159363,0.04970461048109059,0.03613295937888324,0.008024502026418573
OneThinker,/data1/liugengyuan/models/OneThinker,11.0,100.0,154.0,2.076390221118927,0.0019791979712150813,0.9985326331853867,0.000951793052400905,0.22385332383215428,0.06570255973375876,0.27604543350636956,0.05597094684768236,0.02294912504963577,0.004147425938534707
OneThinker,/data1/liugengyuan/models/OneThinker,12.0,100.0,154.0,2.0755176043510435,0.002046304829928024,0.9981129938364028,0.0009840670553681536,0.2959307839721441,0.06920162566477321,0.31131766475737094,0.05514487272453933,0.04257618702016771,0.00761765853887975
OneThinker,/data1/liugengyuan/models/OneThinker,13.0,100.0,154.0,2.07621347784996,0.0032808705521489368,0.998447639644146,0.0015777681717844725,0.22331593899056315,0.08184711989210203,0.2781574483215809,0.08089398196441648,0.038784874128177764,0.010491069358498972
OneThinker,/data1/liugengyuan/models/OneThinker,14.0,100.0,154.0,2.077582377195358,0.0022126288019657116,0.9991059359908104,0.0010640499445716532,0.1491565062943846,0.042963019603283976,0.23742229036986828,0.06356229698724751,0.03967130981385708,0.007565461949811293
OneThinker,/data1/liugengyuan/models/OneThinker,15.0,100.0,154.0,2.0778437650203703,0.002099296828514996,0.9992316403985023,0.0010095504854885308,0.13868475873023273,0.03802286862979637,0.22557492561638356,0.06406265500708774,0.049685069303959606,0.011164333167956734
OneThinker,/data1/liugengyuan/models/OneThinker,16.0,100.0,154.0,2.077379788160324,0.0022866119244628613,0.9990085142850876,0.0010996275199830435,0.1470440474152565,0.03397887996531257,0.2492670388519764,0.06490500729438851,0.051974291428923604,0.009797703090048876
OneThinker,/data1/liugengyuan/models/OneThinker,17.0,100.0,154.0,2.0731249928474424,0.0030836545622985752,0.996962388753891,0.001482924769127402,0.3515309266373515,0.09268882946183338,0.37068319879472256,0.06967920276729707,0.07078912140801549,0.015609903397333313
OneThinker,/data1/liugengyuan/models/OneThinker,18.0,100.0,154.0,2.0764901638031006,0.0014823507235917697,0.9985806947946548,0.0007128613939822984,0.26333180628716946,0.0707092391890079,0.28537319391965865,0.04910299151591761,0.16285804651677607,0.035136453688068905
OneThinker,/data1/liugengyuan/models/OneThinker,19.0,100.0,154.0,2.072323931455612,0.0033780571277437495,0.9965771600604058,0.0016245034247770675,0.36532502844929693,0.104076322761656,0.3915409316122532,0.06693356000647045,0.08122134851291776,0.015248658704412619
OneThinker,/data1/liugengyuan/models/OneThinker,20.0,100.0,154.0,2.068891725540161,0.005310897478594487,0.9949266225099563,0.0025540003674268904,0.4130396378412843,0.12793608575260326,0.4423361795395613,0.08815356364085439,0.08094732699915767,0.02571606839394045
OneThinker,/data1/liugengyuan/models/OneThinker,21.0,100.0,154.0,2.0681717658042906,0.004963813970444918,0.994580389559269,0.0023870915802468727,0.42490385377779605,0.12820829227188102,0.45676369734108446,0.08181192252719989,0.08506927236914635,0.02341372935589948
OneThinker,/data1/liugengyuan/models/OneThinker,22.0,100.0,154.0,2.053408718109131,0.007353212217842431,0.987480862736702,0.003536148982539779,0.5930595685914158,0.16165623955154185,0.6350886459648609,0.07171071084186433,0.046956779118627306,0.009408352335823917
OneThinker,/data1/liugengyuan/models/OneThinker,23.0,100.0,154.0,2.062405458688736,0.006699984974453821,0.9918073827028274,0.003222010434327545,0.5090659641101957,0.1427480363878164,0.5402907848358154,0.08363340229444331,0.07908717673271895,0.015918572283641706
